Fuel_Load,Spread_rate,Flame_length,Resistance ,Weight,Average dbh 20+ in.,Average dbh 8-20 in.,Average dbh snags 8+ in.,Average # trees 20+ in.,Average # trees 8-20 in.,Average # trees under 8 in. dbh,Average # snags,% cover trees,% cover brush
1-DFHD-3,8,4,3,3.3,25,13,0,1.09,9.9,22.28,0,70,0
2-DFHD-3,3,3,1.5,10.1,55,16,15,1.04,6.19,4.95,1.58,70,0
3-DFHD-3,3,4,2,21.5,28,13,12,1.24,14.06,12.38,0.45,90,1
1-DFHD-4,8,4,1.7,6.3,42,13,51,0.99,4.31,66.83,0.05,60,0
2-DFHD-4,10,7,1.7,6.4,26,15,0,0.54,6.09,12.38,0,50,46
3-DFHD-4,2,3,2,12.9,28,15,19,2.38,6.14,7.43,1.63,80,6
4-DFHD-4,2,2,1.7,13.7,31,14,21,1.44,5.89,37.13,0.15,80,1
5-DFHD-4,3,4,1.2,33.2,32,16,32,2.33,5.99,47.03,0.05,90,3
1-HD-2,8,4,3,2.4,0,9,3,0,5.45,36.14,3.37,20,9
2-HD-2,8,4,1.5,8,0,11,15,0,4.5,2.48,0.94,30,5
1-DF-2,6,6,1.3,30,0,11,35,0,13.32,0,0.01,70,6
2-DF-2,4,4,0.9,55.8,21,11,26,0.3,17.48,27.23,0.35,80,18
1-DF-3,3,4,1,59.1,22,13,42,0.15,16.63,17.33,0.89,60,1
2-DF-3,17,13,0.5,111.5,26,15,24,0.89,3.12,4.95,0.2,50,25
1-DF-4,1,1,1.5,14.1,30,14,17,1.19,4.01,4.95,0.2,70,5
2-DF-4,1,1,2,19.2,30,18,23,1.5,1.53,0,0.59,60,0
3-DF-4,2,2,1.3,27.3,29,11,10,1.93,1.5,8.96,0.59,70,7
4-DF-4,1,2,1.2,56,31,12,0,3.71,5.94,12.38,0,70,3
5-DF-4,2,2,0.7,103.6,44,18,35,1.53,0.54,0,0.2,60,0
6-DF-4,3,4,0.6,104.8,30,19,30,1.93,0.64,3.96,0.25,70,1
7-DF-4,4,5,0.5,330.7,24,18,23,0.45,2.77,0,0.2,60,13
1-SA-1,1,1,1.3,20.1,0,11,19,0,1.73,18.42,0.15,30,0
2-SA-1,1,1,1.3,20.9,25,15,16,0.99,2.77,8.96,0.25,50,14
3-SA-1,6,6,1.3,36.3,0,14,11,0,3.22,18.41,1.09,30,0
1-SA-2,1,1,1.7,5.2,0,13,13,0,2.42,27.97,0.79,20,17
2-SA-2,2,3,1.5,41.2,0,10,10,0,3.02,86.63,0.74,10,7
1-SA-3,1,1,1.3,2.7,23,15,11,0.74,8.91,42.08,1.29,70,0
2-SA-3,2,3,3,13.7,23,15,22,0.5,5.59,17.33,0.94,60,1
3-SA-3,1,2,1.1,24.9,0,14,14,0,6.19,29.7,0.64,40,9
1-SA-4,1,1,1.5,33.2,34,11,33,1.34,1.34,0,0.2,40,21
2-SA-4,1,2,0.9,36.3,21,15,18,0.1,9.6,47.03,3.42,41,1
1-MC-2,2,3,1.3,6.8,34,13,13,0.45,8.17,39.6,0.94,50,0
2-MC-2,2,3,1.3,10.8,25,10,0,0.2,17.18,81.68,0,60,0
3-MC-2,7,7,1.1,56.3,22,13,10,0.15,8.96,64.36,3.22,50,0
1-MC-3,1,2,2,11.1,27,15,15,0.25,6.68,2.48,0.45,45,5
2-MC-3,3,4,1.5,20.4,27,11,9,0.15,13.02,69.31,5.3,61,1
3-MC-3,3,4,1.1,43.5,22,15,23,0.84,7.72,7.43,1.04,60,2
1-MC-4,2,3,3,20.9,24,15,21,1.34,7.43,5,2.03,70,0
2-MC-4,5,6,1.1,42.7,27,16,15,1.98,5.35,2.48,5.1,70,5
1-LP-1,2,3,2.4,5.8,0,8,10,0,0.94,111.39,4.36,10,25
2-LP-1,6,6,1.2,11.1,0,11,9,0,0.5,207.92,0.74,5,42
3-LP-1,12,10,1,17.8,0,8,9,0,0.94,103.96,5.69,10,31
1-LP-2,1,1,2.4,3,0,0,10,0,0,12.38,17.82,0,36
2-LP-2,1,1,2,20.5,0,11,0,0,2.87,0,0,23,4
3-LP-2,6,6,1.2,32.8,0,8,8,0,1.88,103.96,0.94,20,46
4-LP-2,7,6,1.2,35.1,0,8,9,0,2.82,79.21,1.49,20,15
1-LP-3,1,2,2.4,4.1,0,0,13,0,0,2.48,9.75,0,8
2-LP-3,2,3,1.1,16.8,0,9,13,0,1.68,14.85,7.52,10,27
3-LP-3,2,3,1.2,23,0,9,12,0,3.66,32.18,6.53,20,13
1-PP&Assoc-3,0,0,12,1.42,22,16,18,0.05,0.89,0,0.15,21,0
2-PP&Assoc-3,13,7,1.7,1.7,26,11,13,0.59,2.38,14.85,1.53,30,61
3-PP&Assoc-3,2,3,1.7,11.9,27,15,38,0.45,11.98,54.46,0.15,50,1
4-PP&Assoc-3,3,4,1.1,12.9,22,15,8,1.24,13.02,17.33,0.94,60,0
5-PP&Assoc-3,6,6,1.1,19.6,23,15,14,1.83,10.45,22.28,3.12,70,0
1-PP&Assoc-4,1,1,2.4,5.3,24,15,28,0.2,2.62,19.8,0.2,21,32
2-PP&Assoc-4,1,2,1.5,7.6,31,13,10,2.23,8.32,32.18,4.11,60,0
3-PP&Assoc-4,2,3,1.3,31.8,30,17,15,1.44,4.55,17.33,1.39,70,10
1-PP-1,3,3,2.4,10,0,10,0,0,0.69,88.37,0,5,1
2-PP-1,4,4,1.7,14.2,0,8,0,0,0.94,47.03,0,5,7
3-PP-1,7,6,1.2,42.5,0,9,0,0,1.88,64.36,0,10,11
1-PP-2,4,3,4,5.3,28,13,15,0.49,7.67,9.9,0.44,60,5
2-PP-2,5,4,1.3,8.52,0,10,10,0,7.18,22.28,1.29,30,20
3-PP-2,8,5,1.3,13.8,0,11,13,0,4.01,7.43,0.4,30,16
4-PP-2,9,6,1.2,39.2,0,10,14,0,3.02,9.9,1.14,30,6
1-PP-3,6,3,3,1.6,27,16,0,0.59,1.14,2.48,0,25,18
2-PP-3,3,2,1.3,6.43,25,17,17,1.78,5.74,0,3.17,70,10
5-PP-3,6,4,1.2,20,29,16,13,0.15,2.48,0,6.53,21,21
6-PP-3,4,4,2,20.1,29,10,17,0.15,2.38,17.33,0.1,21,4
7-PP-3,10,4,1.1,22.7,23,14,26,0.05,2.82,0,0.15,31,20
8-PP-3,6,5,2,29.54,25,12,12,0.3,6.68,9.9,0.45,25,5
1-PP-4,44,3,3,0.84,33,12,0,1.19,1.34,0,0,50,9
2-PP-4,10,4,2,6,28,20,0,0.74,0.1,19.8,0,11,39
3-PP-4,6,4,1.7,7.6,31,0,0,1.09,0,116.34,0,20,22
4-PP-4,9,4,1.3,8.4,24,17,0,0.89,1.49,0,0,30,28
5-PP-4,5,3,1.5,8.5,29,16,22,1.19,1.39,22.28,0.05,40,8
6-PP-4,5,4,0.9,26.74,25,16,23,1.98,3.02,0,0.59,60,6
7-PP-4,4,3,1.5,31.32,28,17,0,1.88,0.64,29.7,0,50,15
8-PP-4,5,4,1.5,48.5,0,16,24,0,0.99,7.43,0.99,10,6
1-BB,7,5,1.2,5.3,0,0,0,0,0,0,0,0,31
2-BB,13,7,0.9,36.8,0,0,0,0,0,9.9,0,0,85
1-JU-2,12,4,4,0.9,0,0,0,0,0,9.9,0,0,10
2-JU-2,3,2,3,1.4,0,10,0,0,0.64,0,0,5,7
